ID del Beneficiario,Nombre del Beneficiario,Tipo de Crédito,Monto del Crédito,Destino del Crédito,Tipo de Empresa,Sector Económico,Ubicación (Departamento),Zona (Rural/Urbano),Fecha de Otorgamiento,Plazo del Crédito (meses),Tasa de Interés (%),Garantía,Estado del Crédito
28,Beneficiario_28,Mujer Emprendedora,687978758,Cultivo sostenible de frutas y verduras,Productor individual,Turismo,Caazapá,Semiurbano,2023-11-22,72,14.0,FOGAMU,Finalizado
29,Beneficiario_29,Inversión Productiva 2.0 - FOGAPY,258276746,Ahorro obligatorio (Banca Comunal),Microempresa,Artesanal,Amambay,Semiurbano,2023-03-12,72,13.0,FOGAMU,Activo
30,Beneficiario_30,Yvy Ñamombarete Hagua,275112025,Tratamiento de residuos sólidos y líquidos,Pequeña Empresa,Industrial,Misiones,Rural,2023-06-10,96,15.0,FOGAMU,Finalizado
31,Beneficiario_31,Proagro Banana,665969335,Energías renovables,Pequeña Empresa,Agricultura Familiar Campesina,Concepción,Rural,2023-04-26,12,11.5,FOGAPY,Activo
32,Beneficiario_32,Ñepyrura 2.0,702419001,Proyectos productivos rurales/urbanos,Productor individual,Turismo,Ñeembucú,Urbano,2023-05-08,48,13.0,FOGAMU,En mora
33,Beneficiario_33,Yvy Ñamombarete Hagua,342679650,Cosecha y almacenamiento,Productor individual,Comercio,Caazapá,Urbano,2023-09-24,120,10.0,No tiene garantía,Finalizado
34,Beneficiario_34,Proagro Banana,717954756,Infraestructura sustentable,Pequeña Empresa,Turismo,Caaguazú,Periurbano,2023-10-01,36,18.0,No tiene garantía,Finalizado
35,Beneficiario_35,Po Joasá,293253801,Desarrollo de microemprendimientos,Organización legalmente constituida,Agroindustrial,Caazapá,Urbano,2023-06-15,24,12.0,FOGAPY,En mora
36,Beneficiario_36,Banca Comunal,170875397,Energías renovables,Pequeña Empresa,Industrial,Boquerón,Urbano,2023-04-24,96,14.0,FOGAMU,En mora
37,Beneficiario_37,Ñepyrura 2.0,535510436,Capital de inversión,Organización legalmente constituida,Agropecuario,Alto Paraná,Semiurbano,2023-06-10,12,14.0,FOGAPY,En mora
38,Beneficiario_38,Proagro CAH,559274203,Capital de inversión,Microempresa,Agroindustrial,Cordillera,Rural,2023-11-26,60,13.0,FOGAPY,Finalizado
39,Beneficiario_39,Promandioca - CAH,430811356,Otros,Productor individual,Industrial,Itapúa,Semiurbano,2023-06-13,60,15.0,No tiene garantía,Finalizado
40,Beneficiario_40,Inversión Productiva,80761204,Tratamiento de residuos sólidos y líquidos,Pequeña Empresa,Turismo,Caaguazú,Urbano,2023-02-10,24,12.0,FOGAMU,En mora
41,Beneficiario_41,Proagro Banana,372317710,Otros,Microempresa,Industrial,Concepción,Urbano,2023-09-20,96,14.0,FOGAMU,Finalizado
42,Beneficiario_42,Ñepyrura 2.0,713710745,Capital operativo,Pequeña Empresa,Industrial,Boquerón,Semiurbano,2023-02-06,72,11.5,No tiene garantía,Activo
43,Beneficiario_43,Juventud Emprendedora,121178871,Tratamiento de residuos sólidos y líquidos,Productor individual,Agroindustrial,Paraguarí,Urbano,2023-11-07,72,12.0,No tiene garantía,En mora
44,Beneficiario_44,CAH/Mercadeo,350019494,Cosecha y almacenamiento,Pequeña Empresa,Industrial,Central,Rural,2023-09-29,120,18.0,FOGAPY,Finalizado
45,Beneficiario_45,Mbaretéra,273797236,Eficiencia energética,Pequeña Empresa,Turismo,Caazapá,Rural,2023-07-01,60,12.0,FOGAMU,Finalizado
46,Beneficiario_46,Ñepyrura 2.0,86110476,Desarrollo de microemprendimientos,Microempresa,Artesanal,Paraguarí,Periurbano,2023-06-08,60,12.0,FOGAPY,Finalizado
47,Beneficiario_47,Promandioca - CAH,748676089,Capital operativo,Productor individual,Agroindustrial,Ñeembucú,Rural,2023-10-23,60,10.0,No tiene garantía,Activo
48,Beneficiario_48,Promandioca - CAH,615394688,Capital operativo,Pequeña Empresa,Forestal,Asunción,Urbano,2023-06-27,12,11.5,No tiene garantía,Finalizado
49,Beneficiario_49,Proagro CAH,37231287,Proyectos productivos rurales/urbanos,Productor individual,Forestal,Caaguazú,Urbano,2023-08-20,72,13.0,No tiene garantía,En mora
50,Beneficiario_50,CAH/Mercadeo,496937982,Capital de inversión,Microempresa,Artesanal,Asunción,Urbano,2023-05-10,96,18.0,FOGAMU,En mora
51,Beneficiario_51,CAH/Mercadeo,423490082,Proyectos productivos rurales/urbanos,Pequeña Empresa,Agroindustrial,Cordillera,Periurbano,2023-03-28,24,18.0,FOGAPY,Activo
52,Beneficiario_52,Turismo Rural 2.0 - Sello Verde,332606981,Otros,Microempresa,Agroindustrial,Alto Paraná,Rural,2023-05-15,60,11.5,FOGAPY,Activo
53,Beneficiario_53,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,214696134,Cultivo sostenible de frutas y verduras,Microempresa,Agropecuario,Paraguarí,Rural,2023-08-01,72,11.5,FOGAPY,Activo
54,Beneficiario_54,Turismo Rural,628144347,Otros,Microempresa,Forestal,Concepción,Semiurbano,2023-04-09,48,12.0,FOGAPY,Finalizado
55,Beneficiario_55,Mbaretéra,670635475,Eficiencia energética,Pequeña Empresa,Turismo,Paraguarí,Rural,2023-11-28,108,15.0,FOGAMU,Activo
56,Beneficiario_56,Mujer Emprendedora,122332954,Ahorro obligatorio (Banca Comunal),Productor individual,Forestal,Caazapá,Periurbano,2023-12-30,120,11.5,FOGAMU,Activo
57,Beneficiario_57,Turismo Rural,227510960,Cosecha y almacenamiento,Organización legalmente constituida,Turismo,Caazapá,Urbano,2023-10-07,72,12.0,FOGAMU,Finalizado
58,Beneficiario_58,Crédito a Través del Descuento de Documento (CDD),584613785,Desarrollo de microemprendimientos,Microempresa,Servicios,Misiones,Semiurbano,2023-10-07,120,14.0,FOGAPY,Activo
59,Beneficiario_59,Kuña Ñamombarete Hagua - FOGAMU,232540611,Infraestructura sustentable,Organización legalmente constituida,Industrial,San Pedro,Rural,2023-09-09,72,13.0,No tiene garantía,En mora
60,Beneficiario_60,Ñepyrura 2.0,743240053,Capital operativo,Microempresa,Comercio,Asunción,Rural,2023-11-26,120,14.0,FOGAPY,En mora
61,Beneficiario_61,Yvy Ñamombarete Hagua,137519769,Cosecha y almacenamiento,Productor individual,Forestal,Concepción,Rural,2023-06-11,24,15.0,FOGAMU,Activo
62,Beneficiario_62,Yvy Ñamombarete Hagua,503151103,Eficiencia energética,Organización legalmente constituida,Agropecuario,Presidente Hayes,Periurbano,2023-03-04,24,15.0,FOGAPY,Finalizado
63,Beneficiario_63,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,254507191,Proyectos productivos rurales/urbanos,Pequeña Empresa,Industrial,Canindeyú,Semiurbano,2023-08-13,24,15.0,FOGAMU,En mora
64,Beneficiario_64,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,557251729,Desarrollo de microemprendimientos,Pequeña Empresa,Artesanal,Alto Paraguay,Urbano,2023-12-15,96,15.0,FOGAMU,Finalizado
65,Beneficiario_65,Kuña Ñamombarete Hagua - FOGAMU,28528123,Ahorro obligatorio (Banca Comunal),Microempresa,Agropecuario,Paraguarí,Urbano,2023-01-27,96,13.0,FOGAPY,Finalizado
66,Beneficiario_66,Banca Comunal,665513733,Infraestructura sustentable,Pequeña Empresa,Comercio,Central,Urbano,2023-08-03,96,10.0,No tiene garantía,Activo
67,Beneficiario_67,Banca Comunal,547461581,Equipamiento turístico,Microempresa,Servicios,Canindeyú,Semiurbano,2023-12-10,84,14.0,FOGAMU,Activo
68,Beneficiario_68,Proagro CAH,54963542,Tratamiento de residuos sólidos y líquidos,Microempresa,Artesanal,Ñeembucú,Periurbano,2023-12-13,36,12.0,FOGAMU,En mora
69,Beneficiario_69,Banca Comunal,152256594,Proyectos productivos rurales/urbanos,Organización legalmente constituida,Agroindustrial,Amambay,Rural,2023-08-30,60,11.5,FOGAPY,Finalizado
70,Beneficiario_70,Turismo Rural 2.0 - Sello Verde,686799315,Equipamiento turístico,Organización legalmente constituida,Artesanal,San Pedro,Urbano,2023-04-25,48,10.0,FOGAPY,En mora
71,Beneficiario_71,Mbaretéra,220903240,Cultivo sostenible de frutas y verduras,Productor individual,Comercio,Amambay,Semiurbano,2023-06-26,84,18.0,FOGAPY,Activo
72,Beneficiario_72,Promandioca - CAH,726798937,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Artesanal,Concepción,Periurbano,2023-07-05,108,10.0,No tiene garantía,En mora
73,Beneficiario_73,Proagro Banana,115269938,Capital operativo,Microempresa,Artesanal,Paraguarí,Periurbano,2023-12-26,96,18.0,FOGAMU,En mora
74,Beneficiario_74,CAH/Mercadeo,278437079,Infraestructura sustentable,Pequeña Empresa,Comercio,Ñeembucú,Rural,2023-09-29,120,11.5,FOGAMU,En mora
75,Beneficiario_75,Banca Comunal,463929635,Proyectos productivos rurales/urbanos,Productor individual,Artesanal,Alto Paraguay,Periurbano,2023-08-06,12,13.0,No tiene garantía,En mora
76,Beneficiario_76,Kuña Ñamombarete Hagua - FOGAMU,356495319,Tratamiento de residuos sólidos y líquidos,Microempresa,Industrial,Ñeembucú,Semiurbano,2023-11-03,72,10.0,FOGAPY,Finalizado
77,Beneficiario_77,Turismo Rural 2.0 - Sello Verde,84235727,Capital de inversión,Productor individual,Comercio,Central,Urbano,2023-02-17,84,10.0,FOGAMU,Finalizado
78,Beneficiario_78,Inversión Productiva 2.0 - FOGAPY,109519239,Desarrollo de microemprendimientos,Microempresa,Artesanal,Alto Paraguay,Periurbano,2023-03-26,12,10.0,No tiene garantía,En mora
79,Beneficiario_79,Promandioca - CAH,606043602,Energías renovables,Microempresa,Comercio,Boquerón,Urbano,2023-03-31,36,13.0,FOGAMU,En mora
80,Beneficiario_80,Kuña Ñamombarete Hagua - FOGAMU,54027013,Tratamiento de residuos sólidos y líquidos,Microempresa,Turismo,Alto Paraguay,Urbano,2023-12-21,60,15.0,FOGAPY,En mora
81,Beneficiario_81,Proagro Banana,208219924,Eficiencia energética,Organización legalmente constituida,Agropecuario,San Pedro,Urbano,2023-06-20,96,12.0,No tiene garantía,En mora
82,Beneficiario_82,CAH/Mercadeo,378768040,Capital operativo,Organización legalmente constituida,Forestal,Guairá,Rural,2023-10-13,48,12.0,No tiene garantía,Activo
83,Beneficiario_83,Inversión Productiva 2.0 - FOGAPY,140720022,Energías renovables,Pequeña Empresa,Agroindustrial,Boquerón,Urbano,2023-07-24,60,14.0,FOGAMU,En mora
84,Beneficiario_84,Mbaretéra,214625633,Cosecha y almacenamiento,Organización legalmente constituida,Forestal,Central,Rural,2023-09-22,108,18.0,No tiene garantía,Finalizado
85,Beneficiario_85,Po Joasá,39305099,Capital operativo,Pequeña Empresa,Agricultura Familiar Campesina,Central,Periurbano,2023-01-11,84,15.0,FOGAMU,En mora
86,Beneficiario_86,Mbaretéra,102749127,Desarrollo de microemprendimientos,Microempresa,Comercio,Alto Paraguay,Rural,2023-10-08,108,10.0,FOGAMU,Activo
87,Beneficiario_87,Yvy Ñamombarete Hagua,335905518,Capital de inversión,Microempresa,Comercio,Paraguarí,Urbano,2023-01-05,72,10.0,No tiene garantía,Activo
88,Beneficiario_88,CAH/Mercadeo,254332580,Proyectos productivos rurales/urbanos,Productor individual,Forestal,Paraguarí,Rural,2023-02-03,96,10.0,FOGAPY,Activo
89,Beneficiario_89,Proagro Banana,710697527,Proyectos productivos rurales/urbanos,Microempresa,Forestal,Caazapá,Semiurbano,2023-06-05,96,12.0,FOGAMU,Activo
90,Beneficiario_90,Inversión Productiva,432330545,Recolección de aguas de lluvia,Microempresa,Turismo,Caaguazú,Rural,2023-03-02,108,11.5,No tiene garantía,Activo
91,Beneficiario_91,Kuña Ñamombarete Hagua - FOGAMU,1376930,Eficiencia energética,Productor individual,Forestal,Asunción,Periurbano,2023-04-04,60,14.0,FOGAPY,Activo
92,Beneficiario_92,Kuña Ñamombarete Hagua - FOGAMU,680435718,Cultivo sostenible de frutas y verduras,Organización legalmente constituida,Agropecuario,Caazapá,Rural,2023-07-25,48,18.0,FOGAPY,Finalizado
93,Beneficiario_93,Crédito a Través del Descuento de Documento (CDD),193189663,Ahorro obligatorio (Banca Comunal),Microempresa,Comercio,Alto Paraná,Urbano,2023-11-27,12,10.0,FOGAPY,Finalizado
94,Beneficiario_94,Para Micro y Pequeñas Empresas,395905716,Tratamiento de residuos sólidos y líquidos,Productor individual,Agricultura Familiar Campesina,Alto Paraguay,Rural,2023-07-31,96,11.5,FOGAMU,En mora
95,Beneficiario_95,Po Joasá,641478293,Eficiencia energética,Productor individual,Forestal,Caazapá,Rural,2023-03-29,12,11.5,No tiene garantía,En mora
96,Beneficiario_96,CAH/Mercadeo,567959726,Otros,Productor individual,Industrial,Guairá,Rural,2023-04-01,96,12.0,No tiene garantía,Finalizado
97,Beneficiario_97,Proagro Banana,247275203,Infraestructura sustentable,Productor individual,Artesanal,Asunción,Urbano,2023-09-18,12,13.0,FOGAPY,Activo
98,Beneficiario_98,Proagro CAH,444640308,Recolección de aguas de lluvia,Organización legalmente constituida,Turismo,Presidente Hayes,Periurbano,2023-04-09,60,11.5,FOGAPY,Finalizado
99,Beneficiario_99,Proagro CAH,247794770,Infraestructura sustentable,Pequeña Empresa,Forestal,Caazapá,Semiurbano,2023-06-11,96,11.5,FOGAPY,Activo
100,Beneficiario_100,Banca Comunal,111872685,Cosecha y almacenamiento,Productor individual,Industrial,Presidente Hayes,Semiurbano,2023-01-29,12,18.0,No tiene garantía,Finalizado
101,Beneficiario_101,Banca Comunal,352057661,Energías renovables,Productor individual,Industrial,Alto Paraguay,Rural,2023-12-21,60,18.0,FOGAMU,Finalizado
102,Beneficiario_102,Para Micro y Pequeñas Empresas,498003192,Desarrollo de microemprendimientos,Pequeña Empresa,Servicios,Caaguazú,Rural,2023-09-08,84,15.0,FOGAPY,En mora
103,Beneficiario_103,Mbaretéra,445201285,Tratamiento de residuos sólidos y líquidos,Microempresa,Agropecuario,Caazapá,Rural,2023-04-26,36,11.5,FOGAPY,En mora
104,Beneficiario_104,Juventud Emprendedora,492901329,Eficiencia energética,Pequeña Empresa,Turismo,San Pedro,Periurbano,2023-01-21,84,15.0,FOGAPY,Finalizado
105,Beneficiario_105,Kuña Ñamombarete Hagua - FOGAMU,326970372,Desarrollo de microemprendimientos,Organización legalmente constituida,Agricultura Familiar Campesina,Caazapá,Periurbano,2023-01-29,12,15.0,FOGAMU,Finalizado
106,Beneficiario_106,Mujer Emprendedora,30077757,Cultivo sostenible de frutas y verduras,Organización legalmente constituida,Agricultura Familiar Campesina,Paraguarí,Periurbano,2023-05-13,36,15.0,No tiene garantía,En mora
107,Beneficiario_107,Yvy Ñamombarete Hagua,323069520,Otros,Productor individual,Agroindustrial,Alto Paraguay,Periurbano,2023-08-01,84,15.0,FOGAPY,Finalizado
108,Beneficiario_108,Turismo Rural,439739803,Energías renovables,Microempresa,Comercio,Concepción,Periurbano,2023-07-22,108,18.0,FOGAMU,Finalizado
109,Beneficiario_109,Banca Comunal,616805986,Capital operativo,Microempresa,Forestal,Misiones,Urbano,2023-11-02,60,15.0,FOGAPY,En mora
110,Beneficiario_110,Mbaretéra,623435264,Tratamiento de residuos sólidos y líquidos,Microempresa,Agropecuario,Cordillera,Periurbano,2023-02-14,24,18.0,FOGAMU,Activo
111,Beneficiario_111,Inversión Productiva,526147855,Cultivo sostenible de frutas y verduras,Productor individual,Agricultura Familiar Campesina,Alto Paraná,Semiurbano,2023-12-31,36,15.0,FOGAPY,Finalizado
112,Beneficiario_112,Proagro Banana,666489446,Cosecha y almacenamiento,Pequeña Empresa,Forestal,Itapúa,Rural,2023-08-05,12,12.0,FOGAPY,Finalizado
113,Beneficiario_113,Mbaretéra,91377252,Recolección de aguas de lluvia,Organización legalmente constituida,Agricultura Familiar Campesina,Paraguarí,Rural,2023-10-27,24,12.0,FOGAMU,En mora
114,Beneficiario_114,Ñepyrura 2.0,413982783,Proyectos productivos rurales/urbanos,Productor individual,Comercio,Presidente Hayes,Rural,2023-02-01,36,11.5,FOGAPY,Activo
115,Beneficiario_115,Crédito a Través del Descuento de Documento (CDD),354258566,Proyectos productivos rurales/urbanos,Microempresa,Artesanal,San Pedro,Rural,2023-08-20,48,11.5,No tiene garantía,Finalizado
116,Beneficiario_116,Juventud Emprendedora,230087902,Tratamiento de residuos sólidos y líquidos,Organización legalmente constituida,Agropecuario,Misiones,Semiurbano,2023-02-11,12,13.0,FOGAMU,En mora
117,Beneficiario_117,Mbaretéra,647544093,Otros,Productor individual,Artesanal,Asunción,Urbano,2023-09-29,96,10.0,FOGAPY,En mora
118,Beneficiario_118,Proagro CAH,552476084,Recolección de aguas de lluvia,Pequeña Empresa,Turismo,Cordillera,Urbano,2023-02-08,60,14.0,No tiene garantía,Activo
119,Beneficiario_119,Mujer Emprendedora,443032146,Equipamiento turístico,Organización legalmente constituida,Forestal,Paraguarí,Semiurbano,2023-05-19,72,11.5,FOGAPY,Finalizado
120,Beneficiario_120,Turismo Rural,271991645,Capital de inversión,Microempresa,Agricultura Familiar Campesina,San Pedro,Semiurbano,2023-10-09,36,12.0,FOGAPY,Activo
121,Beneficiario_121,Proagro Banana,579824956,Capital operativo,Microempresa,Industrial,Central,Periurbano,2023-11-28,120,10.0,FOGAPY,Activo
122,Beneficiario_122,Crédito a Través del Descuento de Documento (CDD),8225584,Capital de inversión,Pequeña Empresa,Agropecuario,Boquerón,Rural,2023-09-05,120,18.0,FOGAMU,Activo
123,Beneficiario_123,Inversión Productiva 2.0 - FOGAPY,152244802,Recolección de aguas de lluvia,Microempresa,Turismo,Alto Paraná,Periurbano,2023-06-20,96,15.0,FOGAPY,Finalizado
124,Beneficiario_124,Inversión Productiva,543918652,Eficiencia energética,Organización legalmente constituida,Artesanal,Guairá,Urbano,2023-05-03,120,18.0,FOGAPY,Finalizado
125,Beneficiario_125,Proagro Banana,499337042,Equipamiento turístico,Pequeña Empresa,Comercio,Paraguarí,Periurbano,2023-04-21,96,10.0,FOGAMU,Finalizado
126,Beneficiario_126,Po Joasá,462167133,Cosecha y almacenamiento,Microempresa,Agropecuario,Central,Urbano,2023-10-03,120,14.0,No tiene garantía,Activo
127,Beneficiario_127,Po Joasá,586179045,Capital de inversión,Pequeña Empresa,Artesanal,Canindeyú,Urbano,2023-01-09,36,10.0,No tiene garantía,En mora
128,Beneficiario_128,Para Micro y Pequeñas Empresas,249269687,Desarrollo de microemprendimientos,Organización legalmente constituida,Comercio,San Pedro,Rural,2023-05-02,12,18.0,FOGAMU,Activo
129,Beneficiario_129,Yvy Ñamombarete Hagua,566884052,Infraestructura sustentable,Organización legalmente constituida,Agroindustrial,Canindeyú,Semiurbano,2023-07-20,24,14.0,FOGAPY,En mora
130,Beneficiario_130,Inversión Productiva,450598980,Eficiencia energética,Organización legalmente constituida,Comercio,Alto Paraná,Rural,2023-01-02,12,13.0,FOGAMU,En mora
131,Beneficiario_131,Ñepyrura 2.0,107532582,Cultivo sostenible de frutas y verduras,Productor individual,Industrial,San Pedro,Periurbano,2023-03-19,48,18.0,No tiene garantía,Activo
132,Beneficiario_132,Proagro Banana,695392291,Recolección de aguas de lluvia,Pequeña Empresa,Comercio,Ñeembucú,Semiurbano,2023-03-15,84,11.5,No tiene garantía,Activo
133,Beneficiario_133,CAH/Mercadeo,575079661,Infraestructura sustentable,Organización legalmente constituida,Agroindustrial,Alto Paraguay,Periurbano,2023-07-09,120,14.0,No tiene garantía,Finalizado
134,Beneficiario_134,Mbaretéra,367677794,Capital operativo,Microempresa,Industrial,Paraguarí,Semiurbano,2023-07-09,120,14.0,FOGAPY,Activo
135,Beneficiario_135,Turismo Rural,275730933,Cosecha y almacenamiento,Organización legalmente constituida,Forestal,Itapúa,Urbano,2023-03-09,96,10.0,No tiene garantía,Finalizado
136,Beneficiario_136,Crédito a Través del Descuento de Documento (CDD),508866852,Proyectos productivos rurales/urbanos,Microempresa,Forestal,Asunción,Semiurbano,2023-04-12,12,18.0,No tiene garantía,En mora
137,Beneficiario_137,Proagro Banana,170886678,Otros,Productor individual,Agroindustrial,Canindeyú,Semiurbano,2023-06-22,48,15.0,FOGAMU,Activo
138,Beneficiario_138,Inversión Productiva,561919816,Cosecha y almacenamiento,Pequeña Empresa,Industrial,Canindeyú,Rural,2023-05-08,36,12.0,No tiene garantía,Activo
139,Beneficiario_139,CAH/Mercadeo,498598805,Ahorro obligatorio (Banca Comunal),Productor individual,Servicios,Canindeyú,Periurbano,2023-03-29,84,10.0,FOGAPY,En mora
140,Beneficiario_140,Kuña Ñamombarete Hagua - FOGAMU,429718542,Equipamiento turístico,Organización legalmente constituida,Turismo,Ñeembucú,Periurbano,2023-02-09,48,10.0,No tiene garantía,Finalizado
141,Beneficiario_141,Turismo Rural 2.0 - Sello Verde,631002900,Tratamiento de residuos sólidos y líquidos,Pequeña Empresa,Agricultura Familiar Campesina,Alto Paraná,Rural,2023-08-06,60,15.0,FOGAPY,Activo
142,Beneficiario_142,Promandioca - CAH,713167077,Cosecha y almacenamiento,Organización legalmente constituida,Comercio,Alto Paraná,Urbano,2023-05-01,36,11.5,FOGAPY,En mora
143,Beneficiario_143,CAH/Mercadeo,547403797,Ahorro obligatorio (Banca Comunal),Microempresa,Industrial,Canindeyú,Semiurbano,2023-03-24,96,13.0,FOGAMU,Activo
144,Beneficiario_144,Banca Comunal,630888794,Recolección de aguas de lluvia,Microempresa,Agroindustrial,Alto Paraná,Semiurbano,2023-01-05,36,12.0,No tiene garantía,Finalizado
145,Beneficiario_145,Mujer Emprendedora,412438887,Recolección de aguas de lluvia,Productor individual,Agroindustrial,Concepción,Urbano,2023-02-12,12,18.0,FOGAPY,En mora
146,Beneficiario_146,Mbaretéra,551568062,Tratamiento de residuos sólidos y líquidos,Productor individual,Industrial,Paraguarí,Rural,2023-07-20,24,14.0,No tiene garantía,Finalizado
147,Beneficiario_147,Estudiantes y Técnicos Egresados de Escuelas Agropecuarias y Otros,739369405,Capital operativo,Pequeña Empresa,Turismo,Alto Paraguay,Urbano,2023-10-14,24,12.0,FOGAMU,En mora
148,Beneficiario_148,Ñepyrura 2.0,179291971,Energías renovables,Microempresa,Agroindustrial,Itapúa,Semiurbano,2023-05-01,24,12.0,No tiene garantía,Activo
